[楚楚, 彬彬, 林木, 森林, 木木]
[声光, 卖光, 霞光, 声誉, 霞浦]
[元首, 无颜, 顽疾, 远道, 无道]
[无价, 无欲, 均价, 无人, 无从]
[才干, 老二, 老干, 考博, 教士]
[老窖, 赤身裸体, 考究, 老窝, 考察]
[老牌, 教务处, 老片, 才算, 老版]
[喷嚏, 嘟嘟, 喃喃, 哇哇, 嘻嘻]
[出息, 出自, 出牌, 出处, 出版]
[长衫, 长袖, 长袍, 长裙, 长裤]
[跳进, 跃进, 踏进, 跨进, 跟进]
[躁动, 跑去, 中去, 跳动, 跑动]
[跨越, 跳起, 中直, 遗址, 跃起]
[跨国, 跳车, 贵国, 跑车, 中国]
[中篇, 踏入, 跳入, 跨入, 跌入]
[中途, 跪倒, 啮合, 跌倒, 路途]
[跑遍, 遗忘, 跋扈, 路盲, 踏遍]
[咒骂, 嘻嘻哈哈, 叽叽喳喳, 哭哭啼啼, 串口]
[第二场, 得寸进尺, 特卖, 先声, 告罄]
[先烈, 垂死, 特殊, 等死, 千万]
[特性, 先进性, 毛发, 告发, 德性]
[告捷, 先后, 造兵, 靠后, 午后]
[行囊, 生事, 牛逼, 行事, 重整]
[重考, 行者, 管理者, 重教, 生者]
[生吞活剥, 生涩, 熏染, 牛津, 行当]
[重赏, 重演, 物理学, 生理学, 管理学]
[生路, 行踪, 重蹈, 行路, 行距]
[先天性, 生性, 特殊性, 秉性, 生发]
[种豆得豆, 重重, 生生, 重生, 簌簌]
[生姜, 重病, 生病, 笑逐颜开, 重症]
[生为, 行旅, 行话, 行为, 重话]
[开启, 开幕词, 开房, 刑讯, 开户]
[彼得, 乍得, 自得, 算得, 竹篮]
[自命, 算命, 自便, 自叙, 自傲]
[环视, 天福, 一面之交, 一面之词, 天神]
[一大, 王磊, 一套, 五大, 一整套]
[一块, 一场, 一声, 琴声, 球场]
[球运, 天下无双, 一动, 一去, 一支]
[五星, 玲珑剔透, 球星, 天王星, 一览]
[向着, 向善, 身着, 躲着, 躺着]
[一头, 一关, 球状, 一瓣, 球头]
[王牌, 天天向上, 一处, 一片, 正式版]
[一词, 一户, 一扇, 一刻, 一遍]
[五谷, 五人, 一人, 平平凡凡, 一份]
[一方, 一文, 一言, 形式主义, 整整齐齐]
[政令, 下颔, 下凡, 下集, 下令]
[两败俱伤, 丽人, 现价, 两份, 两人]
[筹委会, 笔会, 怎么会, 管委会, 奥委会]
[死死, 殡殓, 殊死, 万死, 万万]
[衣襟, 衣裤, 衣衫, 衣裙, 衣袖]
[计价, 讨人, 诗人, 市场价, 讲价]
[驮运, 马云, 驶去, 驱动, 骚动]
[请战, 试点, 这一点, 主战, 评点]
[驳倒, 骄傲, 难于登天, 骈俪, 驱使]
[证人, 主人, 评价, 主从, 肇事人]
[谈天说地, 主讲, 谢天谢地, 试讲, 请讲]
[严重性, 一般性, 副秘书长, 政策性, 两重性]
[高考, 高教, 京都, 衰老, 就教]
[高中, 高贵, 就中, 高跟, 熟路]
[一个人, 现代人, 一代人, 两个人, 责任人]
[熟化, 商品化, 豪华, 京华, 识货]
[误食, 熟食, 高仿, 高领, 训令]
[高高, 高就, 亭亭, 高亮, 熟识]
[转为, 团旗, 默许, 黑话, 置放]
[袖子, 袜子, 裙子, 裤子, 被子]
[初诊, 初六, 补交, 初夜, 实效]
[眷属, 头尾, 准确性, 卷发, 头发]
[窗帘, 窟窿, 窈窕, 窝窝, 空空]
[斗嘴, 闭嘴, 养路, 闭路, 闺中]
[养病, 壮美, 闭着, 装着, 装病]
[视为, 神话, 神州, 被评为, 福州]
[祝词, 祈望, 视讯, 神户, 礼记]
[差价, 美人, 半价, 善人, 病人]
[病例, 病愈, 病倒, 判例, 半途]
[州长, 族长, 为长, 旅长, 率先垂范]
[商号, 谱号, 帝号, 谥号, 订单号]
[六合, 效命, 交合, 论剑, 认命]
[交集, 认领, 效仿, 论集, 交售]
[主义者, 文教, 设计者, 文才, 方才]
